loss,accuracy,lr
2.776450883040286,0.0625,0.01
2.625678344251761,0.125,0.01
2.459953117276125,0.15625,0.01
2.500556892111429,0.09375,0.01
2.588189702962244,0.09375,0.01
2.4789276213604974,0.15625,0.01
2.6438217679722897,0.0625,0.01
2.5777600573792068,0.0625,0.01
2.686152122166625,0.0625,0.01
2.340333039082813,0.125,0.01
2.6527552451798257,0.09375,0.01
2.7525238186630787,0.0625,0.01
2.500674989881966,0.0625,0.01
2.322341616991703,0.15625,0.01
2.5236842870228484,0.0625,0.01
2.4007387519477867,0.15625,0.01
2.7218433506039554,0.125,0.01
2.5501164033394588,0.0625,0.01
2.6356230215728322,0.09375,0.01
2.6044426020974942,0.125,0.01
2.2714793042894956,0.09375,0.01
2.6683773868276304,0.1875,0.01
2.390651610527734,0.09375,0.01
2.485112585296097,0.09375,0.01
2.579498847248148,0.125,0.01
2.560797267384566,0.09375,0.01
2.382828997852703,0.15625,0.01
2.32048910040001,0.21875,0.01
2.517899411035438,0.0625,0.01
2.4067921970002235,0.15625,0.01
2.4815316514471752,0.15625,0.01
2.5856674752391404,0.0625,0.01
2.2326995358559625,0.125,0.01
2.204035843302662,0.25,0.01
2.4987924995160307,0.0625,0.01
2.3325075108016353,0.25,0.01
2.35996567756146,0.15625,0.01
2.485086413560321,0.0625,0.01
2.172502742579512,0.21875,0.01
2.505873442967416,0.125,0.01
2.510923699989088,0.125,0.01
2.4281785122528174,0.125,0.01
2.2953050176854823,0.09375,0.01
2.3248439773443064,0.125,0.01
2.2862857318806302,0.21875,0.01
2.4341212819602434,0.125,0.01
2.375148670535005,0.125,0.01
2.4499980825797385,0.09375,0.01
2.4279923468896762,0.15625,0.01
2.4955803772379106,0.125,0.01
2.4125542417329124,0.15625,0.01
2.4678270503210684,0.1875,0.01
2.3925892296667555,0.15625,0.01
2.1199527479993714,0.15625,0.01
2.0505813682067955,0.3125,0.01
2.262125775616188,0.25,0.01
2.42834225140064,0.15625,0.01
2.3471631858542086,0.1875,0.01
2.2847060228196283,0.15625,0.01
2.2201813073233065,0.125,0.01
2.3807872278009565,0.1875,0.01
2.374666083144198,0.1875,0.01
2.2474871969689096,0.15625,0.01
2.2072161292904897,0.3125,0.01
2.348549058077976,0.1875,0.01
2.3472397221473105,0.125,0.01
2.2996402508489777,0.09375,0.01
